date,Name,BDH_Value,Return
9/14/2016,M3TH0RL,918.1102,-0.153687562
9/15/2016,M3TH0RL,929.7952,0.01272723
9/16/2016,M3TH0RL,946.3737,0.017830271
9/19/2016,M3TH0RL,969.029,0.023939063
9/20/2016,M3TH0RL,941.3535,-0.028560033
9/21/2016,M3TH0RL,950.663,0.009889484
9/22/2016,M3TH0RL,974.2594,0.024820993
9/23/2016,M3TH0RL,961.2809,-0.013321401
9/26/2016,M3TH0RL,966.6653,0.005601276
9/27/2016,M3TH0RL,980.1734,0.013973916
9/28/2016,M3TH0RL,954.2328,-0.026465317
9/29/2016,M3TH0RL,961.9053,0.008040491
9/30/2016,M3TH0RL,965.8423,0.004092919
10/3/2016,M3TH0RL,962.2525,-0.003716756
10/4/2016,M3TH0RL,977.1501,0.015482007
10/5/2016,M3TH0RL,961.4444,-0.016072966
10/6/2016,M3TH0RL,943.5836,-0.018577049
10/7/2016,M3TH0RL,946.4279,0.003014359
10/10/2016,M3TH0RL,913.3193,-0.034982697
10/11/2016,M3TH0RL,882.705,-0.033519822
10/12/2016,M3TH0RL,832.6422,-0.056715211
10/13/2016,M3TH0RL,860.7056,0.033704033
10/14/2016,M3TH0RL,931.2545,0.081966354
10/17/2016,M3TH0RL,915.9345,-0.016450927
10/18/2016,M3TH0RL,926.4912,0.011525606
10/19/2016,M3TH0RL,922.2669,-0.00455946
10/20/2016,M3TH0RL,907.0032,-0.016550198
10/21/2016,M3TH0RL,927.9158,0.02305681
10/24/2016,M3TH0RL,927.9158,0
10/25/2016,M3TH0RL,929.2495,0.001437307
10/26/2016,M3TH0RL,915.4468,-0.0148536
10/27/2016,M3TH0RL,917.0096,0.001707145
10/28/2016,M3TH0RL,917.0358,2.86E-05
10/31/2016,M3TH0RL,915.2114,-0.001989453
11/1/2016,M3TH0RL,906.2781,-0.009760914
11/2/2016,M3TH0RL,902.3062,-0.00438265
11/3/2016,M3TH0RL,887.1418,-0.016806268
11/4/2016,M3TH0RL,890.8414,0.004170247
11/7/2016,M3TH0RL,890.3833,-5.14E-04
11/8/2016,M3TH0RL,904.3203,0.015652809
11/9/2016,M3TH0RL,900.6479,-0.004060951
11/10/2016,M3TH0RL,924.4727,0.026452957
11/11/2016,M3TH0RL,902.7754,-0.02346992
11/14/2016,M3TH0RL,875.0316,-0.030731675
11/15/2016,M3TH0RL,876.713,0.001921531
11/16/2016,M3TH0RL,878.587,0.00213753
11/17/2016,M3TH0RL,875.0316,-0.004046725
11/18/2016,M3TH0RL,854.9691,-0.022927743
11/21/2016,M3TH0RL,869.6437,0.017163895
11/22/2016,M3TH0RL,887.936,0.021034247
11/23/2016,M3TH0RL,892.4175,0.005047098
11/24/2016,M3TH0RL,874.4705,-0.020110542
11/25/2016,M3TH0RL,889.6412,0.017348441
11/28/2016,M3TH0RL,895.9392,0.007079258
11/29/2016,M3TH0RL,885.442,-0.01171642
11/30/2016,M3TH0RL,909.7944,0.0275031
12/1/2016,M3TH0RL,889.5914,-0.022206116
12/2/2016,M3TH0RL,879.2403,-0.011635791
12/5/2016,M3TH0RL,879.2403,0
12/6/2016,M3TH0RL,903.3635,0.027436413
12/7/2016,M3TH0RL,914.9483,0.012824074
12/8/2016,M3TH0RL,915.925,0.001067492
12/9/2016,M3TH0RL,923.0095,0.007734804
12/12/2016,M3TH0RL,923.0095,0
12/13/2016,M3TH0RL,924.1766,0.001264451
12/14/2016,M3TH0RL,915.9765,-0.008872871
12/15/2016,M3TH0RL,891.2937,-0.02694698
12/16/2016,M3TH0RL,906.5422,0.017108278
12/19/2016,M3TH0RL,912.5768,0.006656723
12/20/2016,M3TH0RL,909.0304,-0.003886139
12/21/2016,M3TH0RL,893.653,-0.016916266
12/22/2016,M3TH0RL,888.9721,-0.005237939
12/23/2016,M3TH0RL,881.9294,-0.007922296
12/26/2016,M3TH0RL,881.9294,0
12/27/2016,M3TH0RL,881.611,-3.61E-04
12/28/2016,M3TH0RL,884.9366,0.003772185
12/29/2016,M3TH0RL,906.9441,0.024869013
12/30/2016,M3TH0RL,910.4771,0.003895499
1/2/2017,M3TH0RL,910.4771,0
1/3/2017,M3TH0RL,910.4771,0
1/4/2017,M3TH0RL,910.35,-1.40E-04
1/5/2017,M3TH0RL,911.0623,7.82E-04
1/6/2017,M3TH0RL,917.7685,0.007360858
1/9/2017,M3TH0RL,908.0002,-0.010643534
1/10/2017,M3TH0RL,911.762,0.004142951
1/11/2017,M3TH0RL,900.4051,-0.012455992
1/12/2017,M3TH0RL,909.5694,0.010177974
1/13/2017,M3TH0RL,912.6495,0.003386328
1/16/2017,M3TH0RL,895.6153,-0.018664559
1/17/2017,M3TH0RL,895.1491,-5.21E-04
1/18/2017,M3TH0RL,894.8956,-2.83E-04
1/19/2017,M3TH0RL,901.2953,0.007151337
1/20/2017,M3TH0RL,896.374,-0.005460253
1/23/2017,M3TH0RL,903.5428,0.007997555
1/24/2017,M3TH0RL,913.0541,0.010526673
1/25/2017,M3TH0RL,917.0651,0.004392949
1/26/2017,M3TH0RL,944.9927,0.030453236
1/27/2017,M3TH0RL,944.3232,-7.08E-04
1/30/2017,M3TH0RL,928.3575,-0.016907029
1/31/2017,M3TH0RL,921.9258,-0.006928042
2/1/2017,M3TH0RL,911.9542,-0.010816055
2/2/2017,M3TH0RL,917.4803,0.006059624
2/3/2017,M3TH0RL,917.3495,-1.43E-04
2/6/2017,M3TH0RL,914.6234,-0.002971714
2/7/2017,M3TH0RL,909.522,-0.005577596
2/8/2017,M3TH0RL,913.8275,0.004733805
2/9/2017,M3TH0RL,915.0806,0.001371265
2/10/2017,M3TH0RL,909.4831,-0.006116948
2/13/2017,M3TH0RL,909.4831,0
2/14/2017,M3TH0RL,903.3379,-0.006756805
2/15/2017,M3TH0RL,894.3076,-0.009996592
2/16/2017,M3TH0RL,890.7778,-0.003946964
2/17/2017,M3TH0RL,894.8699,0.00459385
2/20/2017,M3TH0RL,893.7971,-0.001198833
2/21/2017,M3TH0RL,885.3949,-0.009400568
2/22/2017,M3TH0RL,885.9006,5.71E-04
2/23/2017,M3TH0RL,915.4075,0.033307236
2/24/2017,M3TH0RL,908.873,-0.007138351
2/27/2017,M3TH0RL,898.7355,-0.011153924
2/28/2017,M3TH0RL,905.2789,0.007280674
3/1/2017,M3TH0RL,919.7097,0.015940723
3/2/2017,M3TH0RL,911.1073,-0.009353386
3/3/2017,M3TH0RL,912.9289,0.001999325
3/6/2017,M3TH0RL,910.249,-0.002935497
3/7/2017,M3TH0RL,917.0881,0.007513439
3/8/2017,M3TH0RL,920.945,0.004205594
3/9/2017,M3TH0RL,914.0693,-0.007465918
3/10/2017,M3TH0RL,908.927,-0.005625722
3/13/2017,M3TH0RL,918.9896,0.011070856
3/14/2017,M3TH0RL,919.1717,1.98E-04
3/15/2017,M3TH0RL,921.6641,0.002711572
3/16/2017,M3TH0RL,934.5835,0.014017471
3/17/2017,M3TH0RL,935.5573,0.001041961
3/20/2017,M3TH0RL,926.6631,-0.009506847
3/21/2017,M3TH0RL,936.2177,0.010310759
3/22/2017,M3TH0RL,944.8298,0.009198822
3/23/2017,M3TH0RL,944.8571,2.89E-05
3/24/2017,M3TH0RL,928.6022,-0.017203554
3/27/2017,M3TH0RL,939.8684,0.012132429
3/28/2017,M3TH0RL,955.6739,0.016816716
3/29/2017,M3TH0RL,951.0033,-0.004887232
3/30/2017,M3TH0RL,951.1552,1.60E-04
3/31/2017,M3TH0RL,948.8437,-0.002430203
4/3/2017,M3TH0RL,949.189,3.64E-04
4/4/2017,M3TH0RL,951.4177,0.002348004
4/5/2017,M3TH0RL,960.657,0.009711087
4/6/2017,M3TH0RL,960.657,0
4/7/2017,M3TH0RL,954.8534,-0.006041282
4/10/2017,M3TH0RL,954.219,-6.64E-04
4/11/2017,M3TH0RL,955.4609,0.001301483
4/12/2017,M3TH0RL,970.3932,0.015628374
4/13/2017,M3TH0RL,970.3932,0
4/14/2017,M3TH0RL,970.3932,0
4/17/2017,M3TH0RL,964.2598,-0.006320531
4/18/2017,M3TH0RL,961.2996,-0.00306992
4/19/2017,M3TH0RL,964.5108,0.003340478
4/20/2017,M3TH0RL,965.9148,0.00145566
4/21/2017,M3TH0RL,969.2497,0.003452582
4/24/2017,M3TH0RL,970.0962,8.73E-04
4/25/2017,M3TH0RL,964.7913,-0.005468427
4/26/2017,M3TH0RL,1008.973,0.045794049
4/27/2017,M3TH0RL,1003.859,-0.00506852
4/28/2017,M3TH0RL,996.5848,-0.007246237
5/1/2017,M3TH0RL,996.5848,0
5/2/2017,M3TH0RL,999.0398,0.002463413
5/3/2017,M3TH0RL,991.4327,-0.007614411
5/4/2017,M3TH0RL,987.8515,-0.003612146
5/5/2017,M3TH0RL,994.1418,0.006367657
5/8/2017,M3TH0RL,998.7017,0.00458677
5/9/2017,M3TH0RL,991.5682,-0.007142773
5/10/2017,M3TH0RL,991.5682,0
5/11/2017,M3TH0RL,1004.107,0.012645424
5/12/2017,M3TH0RL,1021.664,0.017485188
5/15/2017,M3TH0RL,1035.379,0.013424179
5/16/2017,M3TH0RL,1039.522,0.004001433
5/17/2017,M3TH0RL,1077.194,0.036239733
5/18/2017,M3TH0RL,1094.94,0.016474284
5/19/2017,M3TH0RL,1094.059,-8.05E-04
5/22/2017,M3TH0RL,1105.991,0.010906176
5/23/2017,M3TH0RL,1101.482,-0.004076887
5/24/2017,M3TH0RL,1119.081,0.015977565
5/25/2017,M3TH0RL,1120.197,9.97E-04
5/26/2017,M3TH0RL,1126.763,0.005861469
5/29/2017,M3TH0RL,1123.627,-0.002783194
5/30/2017,M3TH0RL,1119.435,-0.003730775
5/31/2017,M3TH0RL,1113.302,-0.005478657
6/1/2017,M3TH0RL,1127.175,0.012461129
6/2/2017,M3TH0RL,1121.983,-0.004606206
6/5/2017,M3TH0RL,1157.171,0.031362329
6/6/2017,M3TH0RL,1156.644,-4.55E-04
6/7/2017,M3TH0RL,1203.981,0.040926162
6/8/2017,M3TH0RL,1205.546,0.001299854
6/9/2017,M3TH0RL,1171.824,-0.027972388
6/12/2017,M3TH0RL,1159.179,-0.01079087
6/13/2017,M3TH0RL,1158.363,-7.04E-04
6/14/2017,M3TH0RL,1172.979,0.012617806
6/15/2017,M3TH0RL,1162.591,-0.008856084
6/16/2017,M3TH0RL,1163.104,4.41E-04
6/19/2017,M3TH0RL,1168.366,0.004524101
