"","date","Name","BDH_Value"
"1",2016-08-31,"M1BR0RL",1000
"2",2016-09-01,"M1BR0RL",1039.192
"3",2016-09-02,"M1BR0RL",1064.711
"4",2016-09-05,"M1BR0RL",1053.322
"5",2016-09-06,"M1BR0RL",1085.662
"6",2016-09-07,"M1BR0RL",1100.255
"7",2016-09-08,"M1BR0RL",1074.578
"8",2016-09-09,"M1BR0RL",1022.343
"9",2016-09-12,"M1BR0RL",1018.035
"10",2016-09-13,"M1BR0RL",983.3269
"11",2016-09-14,"M1BR0RL",980.3851
"12",2016-09-15,"M1BR0RL",1002.014
"13",2016-09-16,"M1BR0RL",1001.714
"14",2016-09-19,"M1BR0RL",1016.006
"15",2016-09-20,"M1BR0RL",1014.227
"16",2016-09-21,"M1BR0RL",1034.1
"17",2016-09-22,"M1BR0RL",1056.735
"18",2016-09-23,"M1BR0RL",1031.835
"19",2016-09-26,"M1BR0RL",1023.982
"20",2016-09-27,"M1BR0RL",1031.442
"21",2016-09-28,"M1BR0RL",1037.921
"22",2016-09-29,"M1BR0RL",1034.899
"23",2016-09-30,"M1BR0RL",1026.508
"24",2016-10-03,"M1BR0RL",1057.648
"25",2016-10-04,"M1BR0RL",1059.374
"26",2016-10-05,"M1BR0RL",1063.285
"27",2016-10-06,"M1BR0RL",1055.214
"28",2016-10-07,"M1BR0RL",1078.99
"29",2016-10-10,"M1BR0RL",1081.05
"30",2016-10-11,"M1BR0RL",1063.367
"31",2016-10-12,"M1BR0RL",1070.655
"32",2016-10-13,"M1BR0RL",1067.864
"33",2016-10-14,"M1BR0RL",1075.032
"34",2016-10-17,"M1BR0RL",1088.296
"35",2016-10-18,"M1BR0RL",1129.528
"36",2016-10-19,"M1BR0RL",1135.369
"37",2016-10-20,"M1BR0RL",1127.729
"38",2016-10-21,"M1BR0RL",1124.214
"39",2016-10-24,"M1BR0RL",1135.34
"40",2016-10-25,"M1BR0RL",1114.777
"41",2016-10-26,"M1BR0RL",1112.017
"42",2016-10-27,"M1BR0RL",1088.459
"43",2016-10-28,"M1BR0RL",1073.092
"44",2016-10-31,"M1BR0RL",1084
"45",2016-11-01,"M1BR0RL",1027.62
"46",2016-11-02,"M1BR0RL",1026.811
"47",2016-11-03,"M1BR0RL",1005.79
"48",2016-11-04,"M1BR0RL",1005.283
"49",2016-11-07,"M1BR0RL",1046.427
"50",2016-11-08,"M1BR0RL",1036.525
"51",2016-11-09,"M1BR0RL",1015.457
"52",2016-11-10,"M1BR0RL",912.317
"53",2016-11-11,"M1BR0RL",845.7094
"54",2016-11-14,"M1BR0RL",850.3785
"55",2016-11-15,"M1BR0RL",857.475
"56",2016-11-16,"M1BR0RL",867.8415
"57",2016-11-17,"M1BR0RL",865.7456
"58",2016-11-18,"M1BR0RL",868.1864
"59",2016-11-21,"M1BR0RL",888.5643
"60",2016-11-22,"M1BR0RL",876.1625
"61",2016-11-23,"M1BR0RL",864.0098
"62",2016-11-24,"M1BR0RL",865.4362
"63",2016-11-25,"M1BR0RL",867.5075
"64",2016-11-28,"M1BR0RL",874.8398
"65",2016-11-29,"M1BR0RL",849.2621
"66",2016-11-30,"M1BR0RL",882.851
"67",2016-12-01,"M1BR0RL",826.9747
"68",2016-12-02,"M1BR0RL",831.5879
"69",2016-12-05,"M1BR0RL",838.6916
"70",2016-12-06,"M1BR0RL",844.9629
"71",2016-12-07,"M1BR0RL",865.9814
"72",2016-12-08,"M1BR0RL",877.7223
"73",2016-12-09,"M1BR0RL",891.4557
"74",2016-12-12,"M1BR0RL",893.2817
"75",2016-12-13,"M1BR0RL",914.5645
"76",2016-12-14,"M1BR0RL",897.7079
"77",2016-12-15,"M1BR0RL",863.7649
"78",2016-12-16,"M1BR0RL",882.9613
"79",2016-12-19,"M1BR0RL",874.9682
"80",2016-12-20,"M1BR0RL",887.8524
"81",2016-12-21,"M1BR0RL",891.4736
"82",2016-12-22,"M1BR0RL",915.2433
"83",2016-12-23,"M1BR0RL",946.634
"84",2016-12-26,"M1BR0RL",952.379
"85",2016-12-27,"M1BR0RL",958.5618
"86",2016-12-28,"M1BR0RL",958.0621
"87",2016-12-29,"M1BR0RL",984.8014
"88",2016-12-30,"M1BR0RL",981.8513
"89",2017-01-02,"M1BR0RL",986.9536
"90",2017-01-03,"M1BR0RL",1032.773
"91",2017-01-04,"M1BR0RL",1047.744
"92",2017-01-05,"M1BR0RL",1069.119
"93",2017-01-06,"M1BR0RL",1059.061
"94",2017-01-09,"M1BR0RL",1066.384
"95",2017-01-10,"M1BR0RL",1058.709
"96",2017-01-11,"M1BR0RL",1043.912
"97",2017-01-12,"M1BR0RL",1139.907
"98",2017-01-13,"M1BR0RL",1123.875
"99",2017-01-16,"M1BR0RL",1114.27
"100",2017-01-17,"M1BR0RL",1112.877
"101",2017-01-18,"M1BR0RL",1093.046
"102",2017-01-19,"M1BR0RL",1090.412
"103",2017-01-20,"M1BR0RL",1103.719
"104",2017-01-23,"M1BR0RL",1142.785
"105",2017-01-24,"M1BR0RL",1145.252
"106",2017-01-25,"M1BR0RL",1143.32
"107",2017-01-26,"M1BR0RL",1135.49
"108",2017-01-27,"M1BR0RL",1138.073
