date,Ticker,BDH_Value,Return
8/31/2016,M1BR0RL Index,1000,NA
9/1/2016,M1BR0RL Index,1039.192,0.039192
9/2/2016,M1BR0RL Index,1064.711,0.024556579
9/5/2016,M1BR0RL Index,1053.322,-0.010696799
9/6/2016,M1BR0RL Index,1085.662,0.030702862
9/7/2016,M1BR0RL Index,1100.255,0.013441568
9/8/2016,M1BR0RL Index,1074.578,-0.023337317
9/9/2016,M1BR0RL Index,1022.343,-0.04860978
9/12/2016,M1BR0RL Index,1018.035,-0.00421385
9/13/2016,M1BR0RL Index,983.3269,-0.034093229
9/14/2016,M1BR0RL Index,980.3851,-0.002991681
9/15/2016,M1BR0RL Index,1002.014,0.022061637
9/16/2016,M1BR0RL Index,1001.714,-2.99E-04
9/19/2016,M1BR0RL Index,1016.006,0.014267545
9/20/2016,M1BR0RL Index,1014.227,-0.001750974
9/21/2016,M1BR0RL Index,1034.1,0.019594233
9/22/2016,M1BR0RL Index,1056.735,0.021888599
9/23/2016,M1BR0RL Index,1031.835,-0.023563145
9/26/2016,M1BR0RL Index,1023.982,-0.007610713
9/27/2016,M1BR0RL Index,1031.442,0.007285284
9/28/2016,M1BR0RL Index,1037.921,0.006281497
9/29/2016,M1BR0RL Index,1034.899,-0.00291159
9/30/2016,M1BR0RL Index,1026.508,-0.008108038
10/3/2016,M1BR0RL Index,1057.648,0.030335857
10/4/2016,M1BR0RL Index,1059.374,0.001631923
10/5/2016,M1BR0RL Index,1063.285,0.003691803
10/6/2016,M1BR0RL Index,1055.214,-0.007590627
10/7/2016,M1BR0RL Index,1078.99,0.022531922
10/10/2016,M1BR0RL Index,1081.05,0.001909193
10/11/2016,M1BR0RL Index,1063.367,-0.016357245
10/12/2016,M1BR0RL Index,1070.655,0.006853701
10/13/2016,M1BR0RL Index,1067.864,-0.002606815
10/14/2016,M1BR0RL Index,1075.032,0.006712465
10/17/2016,M1BR0RL Index,1088.296,0.012338237
10/18/2016,M1BR0RL Index,1129.528,0.037886751
10/19/2016,M1BR0RL Index,1135.369,0.005171187
10/20/2016,M1BR0RL Index,1127.729,-0.00672909
10/21/2016,M1BR0RL Index,1124.214,-0.003116884
10/24/2016,M1BR0RL Index,1135.34,0.009896692
10/25/2016,M1BR0RL Index,1114.777,-0.018111755
10/26/2016,M1BR0RL Index,1112.017,-0.002475831
10/27/2016,M1BR0RL Index,1088.459,-0.021184928
10/28/2016,M1BR0RL Index,1073.092,-0.014118125
10/31/2016,M1BR0RL Index,1084,0.010165018
11/1/2016,M1BR0RL Index,1027.62,-0.05201107
11/2/2016,M1BR0RL Index,1026.811,-7.87E-04
11/3/2016,M1BR0RL Index,1005.79,-0.020472122
11/4/2016,M1BR0RL Index,1005.283,-5.04E-04
11/7/2016,M1BR0RL Index,1046.427,0.040927779
11/8/2016,M1BR0RL Index,1036.525,-0.009462676
11/9/2016,M1BR0RL Index,1015.457,-0.020325607
11/10/2016,M1BR0RL Index,912.317,-0.101570032
11/11/2016,M1BR0RL Index,845.7094,-0.073009272
11/14/2016,M1BR0RL Index,850.3785,0.005520927
11/15/2016,M1BR0RL Index,857.475,0.008345108
11/16/2016,M1BR0RL Index,867.8415,0.012089565
11/17/2016,M1BR0RL Index,865.7456,-0.002415072
11/18/2016,M1BR0RL Index,868.1864,0.002819304
11/21/2016,M1BR0RL Index,888.5643,0.023471803
11/22/2016,M1BR0RL Index,876.1625,-0.013957122
11/23/2016,M1BR0RL Index,864.0098,-0.013870372
11/24/2016,M1BR0RL Index,865.4362,0.001650907
11/25/2016,M1BR0RL Index,867.5075,0.00239336
11/28/2016,M1BR0RL Index,874.8398,0.008452146
11/29/2016,M1BR0RL Index,849.2621,-0.02923701
11/30/2016,M1BR0RL Index,882.851,0.039550688
12/1/2016,M1BR0RL Index,826.9747,-0.063290748
12/2/2016,M1BR0RL Index,831.5879,0.005578405
12/5/2016,M1BR0RL Index,838.6916,0.008542332
12/6/2016,M1BR0RL Index,844.9629,0.00747748
12/7/2016,M1BR0RL Index,865.9814,0.024875057
12/8/2016,M1BR0RL Index,877.7223,0.013557912
12/9/2016,M1BR0RL Index,891.4557,0.015646634
12/12/2016,M1BR0RL Index,893.2817,0.002048335
12/13/2016,M1BR0RL Index,914.5645,0.023825407
12/14/2016,M1BR0RL Index,897.7079,-0.018431286
12/15/2016,M1BR0RL Index,863.7649,-0.03781074
12/16/2016,M1BR0RL Index,882.9613,0.022224103
12/19/2016,M1BR0RL Index,874.9682,-0.009052605
12/20/2016,M1BR0RL Index,887.8524,0.014725335
12/21/2016,M1BR0RL Index,891.4736,0.004078606
12/22/2016,M1BR0RL Index,915.2433,0.026663381
12/23/2016,M1BR0RL Index,946.634,0.034297656
12/26/2016,M1BR0RL Index,952.379,0.006068871
12/27/2016,M1BR0RL Index,958.5618,0.006491953
12/28/2016,M1BR0RL Index,958.0621,-5.21E-04
12/29/2016,M1BR0RL Index,984.8014,0.027909777
12/30/2016,M1BR0RL Index,981.8513,-0.002995629
1/2/2017,M1BR0RL Index,986.9536,0.005196612
1/3/2017,M1BR0RL Index,1032.773,0.04642508
1/4/2017,M1BR0RL Index,1047.744,0.014495925
1/5/2017,M1BR0RL Index,1069.119,0.020400976
1/6/2017,M1BR0RL Index,1059.061,-0.009407746
1/9/2017,M1BR0RL Index,1066.384,0.006914616
1/10/2017,M1BR0RL Index,1058.709,-0.00719722
1/11/2017,M1BR0RL Index,1043.912,-0.013976456
1/12/2017,M1BR0RL Index,1139.907,0.091956985
1/13/2017,M1BR0RL Index,1123.875,-0.014064305
1/16/2017,M1BR0RL Index,1114.27,-0.008546324
1/17/2017,M1BR0RL Index,1112.877,-0.001250146
1/18/2017,M1BR0RL Index,1093.046,-0.017819579
1/19/2017,M1BR0RL Index,1090.412,-0.00240978
1/20/2017,M1BR0RL Index,1103.719,0.012203644
1/23/2017,M1BR0RL Index,1142.785,0.035394879
1/24/2017,M1BR0RL Index,1145.252,0.002158761
1/25/2017,M1BR0RL Index,1143.32,-0.001686965
1/26/2017,M1BR0RL Index,1135.49,-0.006848476
1/27/2017,M1BR0RL Index,1138.073,0.002274789
1/30/2017,M1BR0RL Index,1126.044,-0.010569621
1/31/2017,M1BR0RL Index,1175.172,0.043628846
2/1/2017,M1BR0RL Index,1188.488,0.011331107
2/2/2017,M1BR0RL Index,1187.914,-4.83E-04
2/3/2017,M1BR0RL Index,1218.939,0.026117211
2/6/2017,M1BR0RL Index,1213.307,-0.004620412
2/7/2017,M1BR0RL Index,1207.931,-0.004430865
2/8/2017,M1BR0RL Index,1223.514,0.012900571
2/9/2017,M1BR0RL Index,1230.526,0.005731034
2/10/2017,M1BR0RL Index,1253.607,0.018757019
2/13/2017,M1BR0RL Index,1242.918,-0.008526596
2/14/2017,M1BR0RL Index,1230.286,-0.010163181
2/15/2017,M1BR0RL Index,1279.131,0.039702151
2/16/2017,M1BR0RL Index,1260.614,-0.014476234
2/17/2017,M1BR0RL Index,1239.407,-0.016822755
2/20/2017,M1BR0RL Index,1253.172,0.011106118
2/21/2017,M1BR0RL Index,1279.317,0.020863058
2/22/2017,M1BR0RL Index,1274.138,-0.004048254
2/23/2017,M1BR0RL Index,1250.582,-0.018487793
2/24/2017,M1BR0RL Index,1218.667,-0.025520118
2/27/2017,M1BR0RL Index,1214.104,-0.003744255
2/28/2017,M1BR0RL Index,1214.104,0
3/1/2017,M1BR0RL Index,1223.689,0.007894711
3/2/2017,M1BR0RL Index,1214.643,-0.007392401
3/3/2017,M1BR0RL Index,1204.473,-0.008372831
3/6/2017,M1BR0RL Index,1210.8,0.00525292
3/7/2017,M1BR0RL Index,1221.91,0.009175752
3/8/2017,M1BR0RL Index,1197.642,-0.01986071
3/9/2017,M1BR0RL Index,1181.375,-0.013582523
3/10/2017,M1BR0RL Index,1200.666,0.016329277
3/13/2017,M1BR0RL Index,1210.588,0.008263747
3/14/2017,M1BR0RL Index,1201.758,-0.007293976
3/15/2017,M1BR0RL Index,1235.563,0.028129623
3/16/2017,M1BR0RL Index,1220.711,-0.012020431
3/17/2017,M1BR0RL Index,1191.267,-0.024120369
3/20/2017,M1BR0RL Index,1211.677,0.017133019
3/21/2017,M1BR0RL Index,1199.124,-0.010360022
3/22/2017,M1BR0RL Index,1185.286,-0.011540091
3/23/2017,M1BR0RL Index,1177.021,-0.006973001
3/24/2017,M1BR0RL Index,1184.886,0.006682124
3/27/2017,M1BR0RL Index,1171.642,-0.011177447
3/28/2017,M1BR0RL Index,1182.869,0.009582279
3/29/2017,M1BR0RL Index,1204.162,0.018001148
3/30/2017,M1BR0RL Index,1194.054,-0.008394219
3/31/2017,M1BR0RL Index,1182.907,-0.009335424
4/3/2017,M1BR0RL Index,1206.949,0.020324506
4/4/2017,M1BR0RL Index,1207.133,1.52E-04
4/5/2017,M1BR0RL Index,1218.958,0.009795938
4/6/2017,M1BR0RL Index,1192.823,-0.021440443
4/7/2017,M1BR0RL Index,1185.781,-0.005903642
4/10/2017,M1BR0RL Index,1176.893,-0.007495482
4/11/2017,M1BR0RL Index,1180.94,0.003438715
4/12/2017,M1BR0RL Index,1179.502,-0.001217674
4/13/2017,M1BR0RL Index,1180.186,5.80E-04
4/14/2017,M1BR0RL Index,1180.186,0
4/17/2017,M1BR0RL Index,1214.504,0.029078467
4/18/2017,M1BR0RL Index,1225.506,0.009058842
4/19/2017,M1BR0RL Index,1172.123,-0.043559966
4/20/2017,M1BR0RL Index,1174.085,0.001673886
4/21/2017,M1BR0RL Index,1172.034,-0.001746892
4/24/2017,M1BR0RL Index,1182.016,0.008516818
4/25/2017,M1BR0RL Index,1200.627,0.015745134
4/26/2017,M1BR0RL Index,1166.699,-0.028258568
4/27/2017,M1BR0RL Index,1157.465,-0.007914638
4/28/2017,M1BR0RL Index,1162.591,0.004428644
5/1/2017,M1BR0RL Index,1170.587,0.006877741
5/2/2017,M1BR0RL Index,1179.514,0.007626088
5/3/2017,M1BR0RL Index,1178.53,-8.34E-04
5/4/2017,M1BR0RL Index,1166.744,-0.010000594
5/5/2017,M1BR0RL Index,1207.275,0.034738554
5/8/2017,M1BR0RL Index,1189.236,-0.014941915
5/9/2017,M1BR0RL Index,1218.389,0.024514058
5/10/2017,M1BR0RL Index,1256.521,0.031297065
5/11/2017,M1BR0RL Index,1278.528,0.017514232
5/12/2017,M1BR0RL Index,1278.227,-2.35E-04
5/15/2017,M1BR0RL Index,1284.504,0.004910708
5/16/2017,M1BR0RL Index,1319.518,0.027258771
5/17/2017,M1BR0RL Index,1311.274,-0.006247736
5/18/2017,M1BR0RL Index,1059.441,-0.192052157
5/19/2017,M1BR0RL Index,1081.84,0.021142282
5/22/2017,M1BR0RL Index,1027.558,-0.050175627
5/23/2017,M1BR0RL Index,1065.573,0.036995479
5/24/2017,M1BR0RL Index,1105.717,0.037673627
5/25/2017,M1BR0RL Index,1090.695,-0.013585755
5/26/2017,M1BR0RL Index,1122.749,0.029388601
5/29/2017,M1BR0RL Index,1117.986,-0.004242266
5/30/2017,M1BR0RL Index,1111.233,-0.006040326
5/31/2017,M1BR0RL Index,1111.654,3.79E-04
6/1/2017,M1BR0RL Index,1106.933,-0.004246825
6/2/2017,M1BR0RL Index,1096.799,-0.009155026
6/5/2017,M1BR0RL Index,1086.046,-0.009803984
6/6/2017,M1BR0RL Index,1123.5,0.034486569
6/7/2017,M1BR0RL Index,1142.767,0.017149088
6/8/2017,M1BR0RL Index,1124.741,-0.015773994
6/9/2017,M1BR0RL Index,1127.702,0.002632606
6/12/2017,M1BR0RL Index,1105.831,-0.019394308
6/13/2017,M1BR0RL Index,1101.235,-0.00415615
6/14/2017,M1BR0RL Index,1126.402,0.022853433
6/15/2017,M1BR0RL Index,1129.188,0.002473362
6/16/2017,M1BR0RL Index,1134.177,0.004418219
6/19/2017,M1BR0RL Index,1145.57,0.010045169
6/20/2017,M1BR0RL Index,1103.527,-0.036700507
6/21/2017,M1BR0RL Index,1106.078,0.002311679
6/22/2017,M1BR0RL Index,1086.396,-0.017794405
6/23/2017,M1BR0RL Index,1083.469,-0.002694229
6/26/2017,M1BR0RL Index,1098.901,0.014243139
6/27/2017,M1BR0RL Index,1094.625,-0.00389116
6/28/2017,M1BR0RL Index,1089.445,-0.004732214
6/29/2017,M1BR0RL Index,1081.648,-0.007156855
6/30/2017,M1BR0RL Index,1096.879,0.014081291
7/3/2017,M1BR0RL Index,1104.795,0.00721684
7/4/2017,M1BR0RL Index,1108.054,0.002949869
7/5/2017,M1BR0RL Index,1103.397,-0.004202864
7/6/2017,M1BR0RL Index,1080.114,-0.021101199
7/7/2017,M1BR0RL Index,1098.457,0.016982467
7/10/2017,M1BR0RL Index,1126.54,0.025565862
7/11/2017,M1BR0RL Index,1146.249,0.017495162
7/12/2017,M1BR0RL Index,1191.756,0.039700798
7/13/2017,M1BR0RL Index,1219.537,0.02331098
7/14/2017,M1BR0RL Index,1221.317,0.00145957
7/17/2017,M1BR0RL Index,1211.961,-0.007660583
7/18/2017,M1BR0RL Index,1238.696,0.022059291
7/19/2017,M1BR0RL Index,1228.088,-0.008563845
7/20/2017,M1BR0RL Index,1239.028,0.008908156
7/21/2017,M1BR0RL Index,1251.317,0.009918259
7/24/2017,M1BR0RL Index,1260.468,0.007313095
7/25/2017,M1BR0RL Index,1252.717,-0.006149303
7/26/2017,M1BR0RL Index,1241.87,-0.008658779
7/27/2017,M1BR0RL Index,1245.518,0.002937506
7/28/2017,M1BR0RL Index,1278.773,0.026699735
7/31/2017,M1BR0RL Index,1282.863,0.003198378
8/1/2017,M1BR0RL Index,1290.742,0.006141731
8/2/2017,M1BR0RL Index,1316.243,0.019756853
8/3/2017,M1BR0RL Index,1299.499,-0.012721055
8/4/2017,M1BR0RL Index,1299.499,0
8/7/2017,M1BR0RL Index,1311.57,0.009288964
8/8/2017,M1BR0RL Index,1295.649,-0.012138887
8/9/2017,M1BR0RL Index,1282.69,-0.010001937
8/10/2017,M1BR0RL Index,1261.077,-0.016849745
